3770   4738   4411   4142   8087   9842   2835   7624   2164   9039
 9249   5561   5587   4079   4818   9730   6697   1726   6178   6371
 1055   6296   3544   9783   5276   9871    321   8578   8203   5787
  314   4110    730   4683    575   1606   8289    988   1991   9287
 9176    761   5050   8612   7291   7414   2090   1675    349   7139
 5834   4122   5642   1011   7146   9245   1093   7670   1003   6652
 2956   9299   8041   7324   4363   4595   2766   9118   6187    734
 9726   9424   2263   7520   1587    511   6041   3951   7051   2058
 6784   2589   7551   9047   5153   2421   7405   5962   8032   8873
 2498   6422   5384   5190   6661   5397   6311   6152   1255    574
 3090   4494   6379    306   9535   6746   3598   7947   6759   8474
 5874   3457   7424   6452   4612   8018   4734   5417    985   4313
 8258   9046   5685    406   1287   8907   9394    309   8966   4307
 3077   1946   3438   4288   4779   9497   3525    928   2254   2108
 8478   4254   9767   3011    118   8263   5504    217   4461   3729
 7183   2484   7211    882   6184   5226   9837   7194   6277   4958
 3236   2001   7068   9229   4101   3810   9429   3712   6316   4173
 7792   8045   9511   1436   5767   3124    546    359   9315   6676
 1944   6997   6171   4702   8517   9972    457   7621   2143   6603
 2151   4826     64    710   1346   7595   4000   7721   6024   6588
6067   7355   1927   6736    448   6783   7425   9041   6688   2883
 7052    944   1737   4868   4019   5183   1672   3698   8973   9675
  540   9909   7200   8838    690    578   5374    932   3732   2461
 9952   5605   4605   3232    490   6952   7747   5678   5896   3302
 5602   1803   7206   1105   9378   4754   6862   5092   5695   9346
 7829   7558   4573   8007   3717    723   2493   3500   3291   8163
 6088   5999   5211   2025   3899   6238   4171   9835   9746   1590
 7021    814   6450   1060   6673   9794   1294   7696   2463   9296
 9681   3557   9252    188   2357   2259   5782   9994     41   9642
  257   4761   2598   9637     34   7837   9911   5681   2342   2349
 1682    880   3019   3358   7197   4708   9122   5452   1070   1750
 2104   7377   9061   9688   2717   6978   1340    999   7079   7656
 5902   7323    207   9528   3661   8192   7043   1259   7312   5151
 5257   3012   1888   8586      9   7569    189   9708   3227   8098
 7309   1929   2636    823   5378   5012   3133   5205   1613   2438
 8703   8070   9184   7096   1914   8262   8314   7191   5949    456
 1007   8994   5107   9878   4406   3240   1262   7878   4399   9515
 7789   4854   3010   5004    429   8134   8689   8323   5129   5838
 5937   4948   4456   1871   9243   1131   1816   8715   4786   1959
 2935   9669   8720   6610     70   5887   2166   7117   9787   3771
